id,name,issn_l,issn,type,is_oa,is_in_doaj,host_organization,host_organization_name
S19730638,Journal of materials research/Pratt's guide to venture capital sources,0884-1616,"0884-1616, 0884-2914, 1091-8876, 1092-8928, 2044-5326",journal,0,0,https://openalex.org/P4310319965,Springer Nature
S46058472,Journal of Molecular Biology,0022-2836,"0022-2836, 1089-8638",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S144184862,Journal of Molecular Evolution,0022-2844,"0022-2844, 1432-1432",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S162544196,Journal of Molecular Graphics,0263-7855,"0263-7855, 1873-4278",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S189140625,Journal of Molecular Liquids,0167-7322,"0167-7322, 1873-3166",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S134773490,Journal of Neurology Neurosurgery & Psychiatry,0022-3050,"0022-3050, 1468-330X",journal,0,0,https://openalex.org/P4310319945,BMJ
S132751470,Journal of Neuroscience Methods,0165-0270,"0165-0270, 1872-678X",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S29984966,Journal of Personality and Social Psychology,0022-3514,"0022-3514, 1939-1315",journal,0,0,https://openalex.org/P4310320262,American Psychological Association
S190924190,Journal of Physics Condensed Matter,0953-8984,"0953-8984, 1361-648X",journal,0,0,https://openalex.org/P4310320083,IOP Publishing
S25370267,Journal of Policy Analysis and Management,0276-8739,"0276-8739, 1520-6688",journal,0,0,https://openalex.org/P4310320595,Wiley
S95323914,Journal of Political Economy,0022-3808,"0022-3808, 1537-534X",journal,0,0,https://openalex.org/P4310315672,University of Chicago Press
S160879026,Journal of Psychiatric Research,0022-3956,"0022-3956, 1879-1379",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S167943036,Journal of Statistical Mechanics Theory and Experiment,1742-5468,1742-5468,journal,0,0,https://openalex.org/P4310311669,Institute of Physics
S167961193,Journal of Statistical Software,1548-7660,1548-7660,journal,1,1,https://openalex.org/P4310315759,Foundation for Open Access Statistics
S114484406,Journal of Synchrotron Radiation,0909-0495,"0909-0495, 1600-5775",journal,0,1,https://openalex.org/P4310320595,Wiley
S92522684,Journal of the Academy of Marketing Science,0092-0703,"0092-0703, 1552-7824",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S111155417,Journal of the American Chemical Society,0002-7863,"0002-7863, 1520-5126, 1943-2984",journal,0,0,https://openalex.org/P4310320006,American Chemical Society
S150273397,Journal of the American Dietetic Association,0002-8223,"0002-8223, 1878-3570",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S204183829,Journal of the American Geriatrics Society,0002-8614,"0002-8614, 1532-5415",journal,0,0,https://openalex.org/P4310320595,Wiley
S185321339,Journal of the American Society of Echocardiography,0894-7317,"0894-7317, 1097-6795",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4394736638,Journal of the American Statistical Association,0162-1459,"0162-1459, 1537-274X",journal,0,0,,
S131264402,Journal of the Atmospheric Sciences,0022-4928,"0022-4928, 1520-0469",journal,0,0,https://openalex.org/P4310320260,American Meteorological Society
S183498172,Journal of the Franklin Institute,0016-0032,"0016-0032, 1879-2693",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S105775785,Journal of the Mechanics and Physics of Solids,0022-5096,"0022-5096, 1873-4782",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S169988927,Journal of the Operational Research Society,0160-5682,"0160-5682, 1476-9360",journal,0,0,https://openalex.org/P4310319703,Palgrave Macmillan
S4210239914,Journal of the Royal Statistical Society Series A (General),0035-9238,"0035-9238, 2397-2327",journal,0,0,https://openalex.org/P4310320595,Wiley
S145009937,Journal of the Royal Statistical Society Series B (Statistical Methodology),1369-7412,"1369-7412, 1467-9868",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S4210214951,Journal of the Society for Industrial and Applied Mathematics,0368-4245,"0368-4245, 2168-3484",journal,0,0,https://openalex.org/P4310320508,Society for Industrial and Applied Mathematics
S109682412,Journal of Theoretical Biology,0022-5193,"0022-5193, 1095-8541",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S72902805,Journal of Wildlife Management,0022-541X,"0022-541X, 1937-2817",journal,0,0,https://openalex.org/P4310320595,Wiley
S167815962,Kidney & Blood Pressure Research,1420-4096,"1420-4096, 1423-0143",journal,1,1,https://openalex.org/P4310317820,Karger Publishers
S4306402641,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),,,repository,0,0,https://openalex.org/I4383465926,LA Referencia
S149285975,Land Economics,0023-7639,"0023-7639, 1543-8325",journal,0,0,https://openalex.org/P4310315918,University of Wisconsin Press
S106296714,Lecture notes in computer science,0302-9743,"0302-9743, 1611-3349",book series,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S118039931,Lecture notes in mathematics,0075-8434,"0075-8434, 1617-9692",book series,0,0,https://openalex.org/P4310319965,Springer Nature
S9435936,Long Range Planning,0024-6301,"0024-6301, 1873-1872",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S26760650,LWT,0023-6438,"0023-6438, 1096-1127",journal,0,1,https://openalex.org/P4310320990,Elsevier BV
S4306488689,Macat Library eBooks,,,ebook platform,0,0,,
S62148650,Machine Learning,0885-6125,"0885-6125, 1573-0565",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S4210196053,Man,0025-1496,"0025-1496, 2397-2548",journal,0,0,https://openalex.org/P4310311696,Royal Anthropological Institute of Great Britain and Ireland
S33323087,Management Science,0025-1909,"0025-1909, 1526-5501",journal,0,0,https://openalex.org/P4310315699,Institute for Operations Research and the Management Sciences
S102439543,Mathematics of Computation,0025-5718,"0025-5718, 1088-6842",journal,0,0,https://openalex.org/P4310315719,American Mathematical Society
S4306463610,McGraw-Hill Book Company,,,ebook platform,0,0,https://openalex.org/P4310320788,McGraw Hill Book Company
S79233773,Medical Care,0025-7079,"0025-7079, 1537-1948",journal,0,0,https://openalex.org/P4310315671,Lippincott Williams & Wilkins
S4210197683,Medical Entomology and Zoology,0424-7086,"0424-7086, 2185-5609",journal,0,0,https://openalex.org/P4310319750,Japan Society of Medical Entomology and Zoology
S14544163,Medicine & Science in Sports & Exercise,0195-9131,"0195-9131, 1530-0315",journal,0,0,https://openalex.org/P4310315671,Lippincott Williams & Wilkins
S73539393,Methods,1046-2023,"1046-2023, 1095-9130",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S182211142,Methods in enzymology on CD-ROM/Methods in enzymology,0076-6879,"0076-6879, 1079-2376, 1557-7988",book series,0,0,https://openalex.org/P4310319955,Academic Press
S4210173168,Midwest Journal of Political Science,0026-3397,"0026-3397, 2325-6958",journal,0,0,,
S57293258,MIS Quarterly,0276-7783,"0276-7783, 2162-9730",journal,0,0,https://openalex.org/P4327875293,MIS Quarterly
S117777245,Modelling and Simulation in Materials Science and Engineering,0965-0393,"0965-0393, 1361-651X",journal,0,0,https://openalex.org/P4310320083,IOP Publishing
S72851247,Modern Language Journal,0026-7902,"0026-7902, 1540-4781",journal,0,0,https://openalex.org/P4310320595,Wiley
S57552105,Molecular Biology and Evolution,0737-4038,"0737-4038, 1537-1719",journal,0,1,https://openalex.org/P4310311648,Oxford University Press
S22454499,Molecular Ecology,0962-1083,"0962-1083, 1365-294X",journal,0,0,https://openalex.org/P4310320595,Wiley
S165787973,Molecular Ecology Notes,1471-8278,"1471-8278, 1471-8286",journal,0,0,https://openalex.org/P4310320595,Wiley
S64961995,Molecular Ecology Resources,1755-098X,"1755-098X, 1755-0998",journal,0,0,https://openalex.org/P4310320595,Wiley
S204809294,Molecular Physics,0026-8976,"0026-8976, 1362-3028",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S200893805,Molecular Systems Biology,1744-4292,1744-4292,journal,1,1,https://openalex.org/P4310319965,Springer Nature
S4306463641,National Academies Press eBooks,,,ebook platform,0,0,,
S137773608,Nature,0028-0836,"0028-0836, 1476-4687",journal,0,0,https://openalex.org/P4310319908,Nature Portfolio
S106963461,Nature Biotechnology,1087-0156,"1087-0156, 1546-1696",journal,0,0,https://openalex.org/P4310319908,Nature Portfolio
S137905309,Nature Genetics,1061-4036,"1061-4036, 1546-1718",journal,0,0,https://openalex.org/P4310319908,Nature Portfolio
S103895331,Nature Materials,1476-1122,"1476-1122, 1476-4660",journal,0,0,https://openalex.org/P4310319908,Nature Portfolio
S127827428,Nature Methods,1548-7091,"1548-7091, 1548-7105",journal,0,0,https://openalex.org/P4310319908,Nature Portfolio
S7822423,Nature Nanotechnology,1748-3387,"1748-3387, 1748-3395",journal,0,0,https://openalex.org/P4310319908,Nature Portfolio
S109387254,Nature Protocols,1750-2799,"1750-2799, 1754-2189",journal,0,0,https://openalex.org/P4310319908,Nature Portfolio
S168252155,Neonatology,1661-7800,"1661-7800, 1661-7819",journal,0,0,https://openalex.org/P4310317820,Karger Publishers
S207023548,Neural Computation,0899-7667,"0899-7667, 1530-888X",journal,0,0,https://openalex.org/P4310315718,The MIT Press
S123019304,Neural Networks,0893-6080,"0893-6080, 1879-2782",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S45693802,Neurocomputing,0925-2312,"0925-2312, 1872-8286",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S103225281,NeuroImage,1053-8119,"1053-8119, 1095-9572",journal,0,1,https://openalex.org/P4310320990,Elsevier BV
S79704628,Neurology,0028-3878,"0028-3878, 1526-632X",journal,0,0,https://openalex.org/P4310315671,Lippincott Williams & Wilkins
S86238769,Neuropeptides,0143-4179,"0143-4179, 1532-2785",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S165368631,Neuropsychologia,0028-3932,"0028-3932, 1873-3514",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S62468778,New England Journal of Medicine,0028-4793,"0028-4793, 1533-4406",journal,0,0,https://openalex.org/P4310320239,Massachusetts Medical Society
S145630073,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,0168-9002,"0168-9002, 1872-9576",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S134668137,Nucleic Acids Research,0305-1048,"0305-1048, 1362-4954, 1362-4962",journal,0,1,https://openalex.org/P4310311648,Oxford University Press
S193378857,Nucleic Acids Symposium Series,0261-3166,"0261-3166, 1746-8272",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S4210205683,Numerische Mathematik,0029-599X,"0029-599X, 0945-3245",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S62565178,Nurse Education Today,0260-6917,"0260-6917, 1532-2793",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S57227388,Nursing Research,0029-6562,"0029-6562, 1538-9847",journal,0,0,https://openalex.org/P4310315671,Lippincott Williams & Wilkins
S38078933,Nutrition Reviews,0029-6643,"0029-6643, 1753-4887",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S116972989,OMICS A Journal of Integrative Biology,1536-2310,"1536-2310, 1557-8100",journal,0,0,https://openalex.org/P4310320443,"Mary Ann Liebert, Inc."
S206124708,Organization Science,1047-7039,"1047-7039, 1526-5455",journal,0,0,https://openalex.org/P4310315699,Institute for Operations Research and the Management Sciences
S64744539,Organizational Behavior and Human Decision Processes,0749-5978,"0749-5978, 1095-9920",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4306463708,Oxford University Press eBooks,,,ebook platform,0,0,https://openalex.org/P4310311648,Oxford University Press
S22496335,Pacific Affairs,0030-851X,"0030-851X, 1715-3379",journal,0,0,https://openalex.org/P4310313051,University of British Columbia
S130519153,Palaeontologia Electronica,1094-8074,"1094-8074, 1532-3056, 1935-3952",journal,1,1,,
S39041608,Patient Education and Counseling,0738-3991,"0738-3991, 1873-5134",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S151820558,Pattern Recognition Letters,0167-8655,"0167-8655, 1872-7344",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4210199927,Performance + Instruction,0884-1985,"0884-1985, 1932-0116",journal,0,0,https://openalex.org/P4310320595,Wiley
S203465302,Pflügers Archiv - European Journal of Physiology,0031-6768,"0031-6768, 0365-267X, 1432-2013",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S2764821508,Philosophy study,2159-5313,"2159-5313, 2159-5321",journal,0,0,,
S181332294,Physical Chemistry Chemical Physics,1463-9076,"1463-9076, 1463-9084",journal,0,0,https://openalex.org/P4310320556,Royal Society of Chemistry
S54862371,Physical Review,0031-899X,"0031-899X, 1536-6065",journal,0,0,https://openalex.org/P4310320257,American Institute of Physics
S24807848,Physical Review Letters,0031-9007,"0031-9007, 1079-7114, 1092-0145",journal,0,0,https://openalex.org/P4310320261,American Physical Society
S4210219937,"Physical review. A, General physics",0556-2791,0556-2791,journal,0,0,https://openalex.org/P4310320257,American Institute of Physics
S4210174675,"Physical review. B, Condensed matter",0163-1829,"0163-1829, 1095-3795",journal,0,0,https://openalex.org/P4310320261,American Physical Society
S4210208989,"Physical review. B, Solid state",0556-2805,0556-2805,journal,0,0,https://openalex.org/P4310320261,American Physical Society
S180907581,Physics Today,0031-9228,"0031-9228, 1945-0699",journal,0,0,https://openalex.org/P4310320061,AIP Publishing
S185046733,Physiologia Plantarum,0031-9317,"0031-9317, 1399-3054",journal,0,0,https://openalex.org/P4310320595,Wiley
S11781297,Plant and Soil,0032-079X,"0032-079X, 1573-5036",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S42294715,PLANT PHYSIOLOGY,0032-0889,"0032-0889, 1532-2548",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S46033839,Plasma and Fusion Research,1880-6821,1880-6821,journal,1,0,https://openalex.org/P4328135220,Japan Society of Plasma Science and Nuclear Fusion Research
S197939330,PLoS Medicine,1549-1277,"1549-1277, 1549-1676",journal,1,1,https://openalex.org/P4310315706,Public Library of Science
S202381698,PLoS ONE,1932-6203,1932-6203,journal,1,1,https://openalex.org/P4310315706,Public Library of Science
S4306402433,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",,,repository,0,0,,
S4306463805,Princeton University Press eBooks,,,ebook platform,0,0,https://openalex.org/P4310316492,Princeton University Press
S68686220,Proceedings of the IEEE,0018-9219,"0018-9219, 1558-2256",journal,0,0,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
S125754415,Proceedings of the National Academy of Sciences,0027-8424,"0027-8424, 1091-6490",journal,0,0,https://openalex.org/P4310320052,National Academy of Sciences
S3006183880,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,1364-5021,"1364-5021, 1471-2946",journal,0,0,https://openalex.org/P4310319787,Royal Society
S173499201,Process Biochemistry,1359-5113,"1359-5113, 1873-3298",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S84074229,Psychiatry Research,0165-1781,"0165-1781, 1872-7123",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S75627607,Psychological Bulletin,0033-2909,"0033-2909, 1939-1455",journal,0,0,https://openalex.org/P4310320262,American Psychological Association
S16647404,Psychological Inquiry,1047-840X,"1047-840X, 1532-7965",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S35223124,Psychological Review,0033-295X,"0033-295X, 1939-1471",journal,0,0,https://openalex.org/P4310320262,American Psychological Association
S4306463811,Psychology Press eBooks,,,ebook platform,0,0,,
S186480540,Psychometrika,0033-3123,"0033-3123, 1860-0980",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S4306525036,PubMed,,,repository,0,0,https://openalex.org/I1299303238,National Institutes of Health
S142816121,Pure and Applied Chemistry,0033-4545,"0033-4545, 1365-3075",journal,0,0,https://openalex.org/P4310321427,International Union of Pure and Applied Chemistry
S32648145,Qualitative Health Research,1049-7323,"1049-7323, 1552-7557",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S51001188,Qualitative Research in Psychology,1478-0887,"1478-0887, 1478-0895",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S2764513707,Qualitative Research in Sport Exercise and Health,2159-676X,"2159-676X, 2159-6778",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S70522100,Quarterly Journal of the Royal Meteorological Society,0035-9009,"0035-9009, 1477-870X",journal,0,0,https://openalex.org/P4310320595,Wiley
S50280174,Radiology,0033-8419,"0033-8419, 1527-1315",journal,0,0,https://openalex.org/P4310315931,Radiological Society of North America
S4306401271,RePEc: Research Papers in Economics,,,repository,0,0,https://openalex.org/I77793887,Federal Reserve Bank of St. Louis
S73260565,Reviews of Modern Physics,0034-6861,"0034-6861, 1538-4527, 1539-0756",journal,0,0,https://openalex.org/P4310320261,American Physical Society
S2739018597,Revista de Administração Contemporânea,1415-6555,"1415-6555, 1982-7849",journal,1,1,https://openalex.org/P4310312426,Associação Nacional de Pós-Graduação e Pesquisa em Administração (ANPAD)
S115516397,Revue économique,0035-2764,"0035-2764, 1950-6694",journal,0,0,https://openalex.org/P4310311471,Sciences Po
S4306463867,Sage eBooks,,,ebook platform,0,0,https://openalex.org/P4310320017,SAGE Publishing
S72071028,Scandinavian Journal of Statistics,0303-6898,"0303-6898, 1467-9469",journal,0,0,https://openalex.org/P4310320595,Wiley
S117485531,Schizophrenia Bulletin,0586-7614,"0586-7614, 1745-1701, 1745-1707",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S3880285,Science,0036-8075,"0036-8075, 1095-9203",journal,0,0,https://openalex.org/P4310315823,American Association for the Advancement of Science
S2737427234,Science Advances,2375-2548,2375-2548,journal,1,1,https://openalex.org/P4310315823,American Association for the Advancement of Science
S155937366,Science Signaling,1937-9145,"1937-9145, 1945-0877",journal,0,0,https://openalex.org/P4310315823,American Association for the Advancement of Science
S2607323502,Scientific Data,2052-4463,2052-4463,journal,1,1,https://openalex.org/P4310319908,Nature Portfolio
S196734849,Scientific Reports,2045-2322,2045-2322,journal,1,1,https://openalex.org/P4310319908,Nature Portfolio
S148561398,Scientometrics,0138-9130,"0138-9130, 1588-2861",journal,0,0,https://openalex.org/P4310320108,Springer Nature (Netherlands)
S160107561,SIAM Review,0036-1445,"0036-1445, 1095-7200",journal,0,0,https://openalex.org/P4310320508,Society for Industrial and Applied Mathematics
S42921845,SLEEP,0161-8105,"0161-8105, 1550-9109",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S130611943,Social Forces,0037-7732,"0037-7732, 1534-7605",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S26186134,Social Networks,0378-8733,"0378-8733, 1879-2111",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4306463922,Society for Industrial and Applied Mathematics eBooks,,,ebook platform,0,0,https://openalex.org/P4310320508,Society for Industrial and Applied Mathematics
S9536269,Sociological Methods & Research,0049-1241,"0049-1241, 1552-8294",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S2506067282,SoftwareX,2352-7110,2352-7110,journal,1,1,https://openalex.org/P4310320990,Elsevier BV
S90259781,Soil Science,0038-075X,"0038-075X, 1538-9243",journal,0,0,https://openalex.org/P4310315671,Lippincott Williams & Wilkins
S59755854,Soil Science Society of America Journal,0361-5995,"0361-5995, 1435-0661",journal,0,0,https://openalex.org/P4310320595,Wiley
S16296580,Southern Economic Journal,0038-4038,"0038-4038, 2325-8012",journal,0,0,https://openalex.org/P4310320595,Wiley
S5152312,Spatial Vision,0169-1015,"0169-1015, 1568-5683",journal,0,0,https://openalex.org/P4310320561,Brill
S4210187552,Springer series in statistics,0172-7397,"0172-7397, 2197-568X",book series,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S161743634,Stanford Law Review,0038-9765,"0038-9765, 1939-8581",journal,0,0,https://openalex.org/P4310316196,Stanford Law School
S4306463952,Stanford University Press eBooks,,,ebook platform,0,0,,
S4210187487,Statisctics and computing/Statistics and computing,1431-8784,"1431-8784, 2197-1706",book series,0,0,https://openalex.org/P4310319965,Springer Nature
S12967704,Statistical Science,0883-4237,"0883-4237, 2168-8745",journal,0,0,https://openalex.org/P4310319881,Institute of Mathematical Statistics
S4210186945,Statistics for biology and health,2197-5663,"2197-5663, 2197-5671",journal,0,0,,
S55189604,Statistics in Medicine,0277-6715,"0277-6715, 1097-0258",journal,0,0,https://openalex.org/P4310320595,Wiley
S102949365,Strategic Management Journal,0143-2095,"0143-2095, 1097-0266",journal,0,0,https://openalex.org/P4310320595,Wiley
S78020522,Structural Equation Modeling A Multidisciplinary Journal,1070-5511,"1070-5511, 1532-8007",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S120411249,Swarm Intelligence,1935-3812,"1935-3812, 1935-3820",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S65478581,Systematic Biology,1063-5157,"1063-5157, 1076-836X",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S82452678,Systematic Reviews,2046-4053,2046-4053,journal,1,1,https://openalex.org/P4310320256,BioMed Central
S985303,Technometrics,0040-1706,"0040-1706, 1537-2723",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S97631563,Telos,0090-6514,"0090-6514, 1940-459X",journal,0,0,https://openalex.org/P4320800767,Telos
S134425043,The American Journal of Human Genetics,0002-9297,"0002-9297, 1537-6605",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S5762857,The Annals of Mathematical Statistics,0003-4851,"0003-4851, 2168-8990",journal,0,0,https://openalex.org/P4310319881,Institute of Mathematical Statistics
S119757635,The Annals of Statistics,0090-5364,"0090-5364, 2168-8966",journal,0,0,https://openalex.org/P4310319881,Institute of Mathematical Statistics
S100695177,The Astronomical Journal,0004-6256,"0004-6256, 1538-3881",journal,0,1,https://openalex.org/P4310311669,Institute of Physics
S1980519,The Astrophysical Journal,0004-637X,"0004-637X, 1538-4357",journal,0,1,https://openalex.org/P4310320083,IOP Publishing
S44643521,The Computer Journal,0010-4620,"0010-4620, 1460-2067",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S45992627,The Economic Journal,0013-0133,"0013-0133, 1468-0297, 1742-0350",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S130337233,The Gerontologist,0016-9013,"0016-9013, 1758-5341",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S96410829,The Journal of Cell Biology,0021-9525,"0021-9525, 1540-8140",journal,0,0,https://openalex.org/P4310315676,Rockefeller University Press
S77047749,The Journal of Chemical Physics,0021-9606,"0021-9606, 1089-7690, 1520-9032",journal,0,0,https://openalex.org/P4310320257,American Institute of Physics
S17992710,The Journal of Clinical Psychiatry,0160-6689,"0160-6689, 1534-8628, 1555-2101",journal,0,0,https://openalex.org/P4322614534,"Physicians Postgraduate Press, Inc."
S5353659,The Journal of Finance,0022-1082,"0022-1082, 1540-6261",journal,0,0,https://openalex.org/P4310320595,Wiley
S181027741,The Journal of Interdisciplinary History,0022-1953,"0022-1953, 1530-9169",journal,0,0,https://openalex.org/P4310315718,The MIT Press
S998097505,The Journal of Law and Economics,0022-2186,"0022-2186, 1537-5285",journal,0,0,https://openalex.org/P4310315672,University of Chicago Press
S42468459,The Journal of Marketing Theory and Practice,1069-6679,"1069-6679, 1944-7175",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S13566964,The Journal of Nervous and Mental Disease,0022-3018,"0022-3018, 1539-736X",journal,0,0,https://openalex.org/P4310315671,Lippincott Williams & Wilkins
S4210214273,The Journal of Open Source Software,2475-9066,2475-9066,journal,1,1,https://openalex.org/P4310315853,Open Journals
S24459064,The Journal of Physical Chemistry,0022-3654,"0022-3654, 1541-5740",journal,0,0,https://openalex.org/P4310320006,American Chemical Society
S185621672,The Journal of Physical Chemistry B,1520-5207,"1520-5207, 1520-6106",journal,0,0,https://openalex.org/P4310320006,American Chemical Society
S2090548,The Journal of Physiology,0022-3751,"0022-3751, 1469-7793",journal,0,0,https://openalex.org/P4310320595,Wiley
S969433497,The Journals of Gerontology Series A,1079-5006,"1079-5006, 1758-535X",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S49861241,The Lancet,0140-6736,"0140-6736, 1474-547X",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4306463997,The MIT Press eBooks,,,ebook platform,0,0,https://openalex.org/P4310315718,The MIT Press
S67862205,The Plant Journal,0960-7412,"0960-7412, 1365-313X",journal,0,0,https://openalex.org/P4310320595,Wiley
S2764583119,The Psychological Monographs,0096-9753,0096-9753,journal,0,0,https://openalex.org/P4310320262,American Psychological Association
S203860005,The Quarterly Journal of Economics,0033-5533,"0033-5533, 1531-4650",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S88935262,The Review of Economic Studies,0034-6527,"0034-6527, 1467-937X",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S81945236,Theoretical Chemistry Accounts,1432-2234,"1432-2234, 1432-881X",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S27569427,Thyroid,1050-7256,"1050-7256, 1557-9077",journal,0,0,https://openalex.org/P4310320443,"Mary Ann Liebert, Inc."
S4306402624,TUScholarShare (Temple University),,,repository,0,0,https://openalex.org/I84392919,Temple University
S4306400792,University of North Texas Digital Library (University of North Texas),,,repository,0,0,https://openalex.org/I123534392,University of North Texas
S4210197309,Use R!,2197-5736,"2197-5736, 2197-5744",book series,0,0,https://openalex.org/P4310319972,Springer International Publishing
S52566953,Water Research,0043-1354,"0043-1354, 1879-2448",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4210188905,Wiley series in probability and statistics,1940-6347,"1940-6347, 1940-6517",book series,0,0,https://openalex.org/P4310320595,Wiley
S4306400562,Zenodo (CERN European Organization for Nuclear Research),,,repository,1,0,https://openalex.org/I67311998,European Organization for Nuclear Research
name:machine learning under malware attack,Machine Learning under Malware Attack,,,,0,0,,
name:social theory re-wired,Social Theory Re-Wired,,,,0,0,,
name:proceedings of the 2019 conference of the north,Proceedings of the 2019 Conference of the North,,,,0,0,,
name:an integrated approach to communication theory and research,An Integrated Approach to Communication Theory and Research,,,,0,0,,
name:food and culture,Food and Culture,,,,0,0,,
name:2018 ieee/cvf conference on computer vision and pattern recognition,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,0,0,,
name:a new era in global health,A New Era in Global Health,,,,0,0,,
name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),,,,0,0,,
name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,,0,0,,
name:2016 ieee conference on computer vision and pattern recognition (cvpr),2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,,0,0,,
name:http://www.cs.unc.edu/%7ewliu/papers/ssd.pdf,http://www.cs.unc.edu/%7Ewliu/papers/ssd.pdf,,,,0,0,,
name:proceedings of the 22nd acm sigkdd international conference on knowledge discovery and data mining,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,0,0,,
name:2015 ieee international conference on computer vision (iccv),2015 IEEE International Conference on Computer Vision (ICCV),,,,0,0,,
name:2015 ieee conference on computer vision and pattern recognition (cvpr),2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,,0,0,,
name:http://www.cs.toronto.edu/%7ersalakhu/papers/srivastava14a.pdf,http://www.cs.toronto.edu/%7Ersalakhu/papers/srivastava14a.pdf,,,,0,0,,
name:proceedings of the 2014 conference on empirical methods in natural language processing (emnlp),Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP),,,,0,0,,
name:2014 ieee conference on computer vision and pattern recognition,2014 IEEE Conference on Computer Vision and Pattern Recognition,,,,0,0,,
name:encyclopedia of behavioral medicine,Encyclopedia of Behavioral Medicine,,,,0,0,,
name:http://www-stat.stanford.edu/~hastie/papers/eslii.pdf,http://www-stat.stanford.edu/~hastie/Papers/ESLII.pdf,,,,0,0,,
