id,type,journal_id,label,name,issn_l,source_type,host_organization_name
journal:S4210168021,journal,S4210168021,Journal of Experimental Psychology,Journal of Experimental Psychology,0022-1015,journal,American Psychological Association
journal:S149240962,journal,S149240962,Journal of Financial Economics,Journal of Financial Economics,0304-405X,journal,Elsevier BV
journal:S116608325,journal,S116608325,Journal of General Internal Medicine,Journal of General Internal Medicine,0884-8734,journal,Springer Science+Business Media
journal:S115925768,journal,S115925768,Journal of Global Optimization,Journal of Global Optimization,0925-5001,journal,Springer Science+Business Media
journal:S122290859,journal,S122290859,Journal of Health and Social Behavior,Journal of Health and Social Behavior,0022-1465,journal,SAGE Publishing
journal:S55737203,journal,S55737203,Journal of Hydrology,Journal of Hydrology,0022-1694,journal,Elsevier BV
journal:S201669150,journal,S201669150,Journal of Immunological Methods,Journal of Immunological Methods,0022-1759,journal,Elsevier BV
journal:S19366293,journal,S19366293,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics,1347-7986,journal,Japan Society for Fuzzy Theory and Intelligent Informatics
journal:S118988714,journal,S118988714,Journal of Machine Learning Research,Journal of Machine Learning Research,1532-4435,journal,The MIT Press
journal:S122767448,journal,S122767448,Journal of Management,Journal of Management,0149-2063,journal,SAGE Publishing
journal:S142990027,journal,S142990027,Journal of Marketing,Journal of Marketing,0022-2429,journal,SAGE Publishing
journal:S119950638,journal,S119950638,Journal of Marketing Research,Journal of Marketing Research,0022-2437,journal,SAGE Publishing
journal:S19730638,journal,S19730638,Journal of materials research/Pratt's guide to venture capital sources,Journal of materials research/Pratt's guide to venture capital sources,0884-1616,journal,Springer Nature
journal:S46058472,journal,S46058472,Journal of Molecular Biology,Journal of Molecular Biology,0022-2836,journal,Elsevier BV
journal:S144184862,journal,S144184862,Journal of Molecular Evolution,Journal of Molecular Evolution,0022-2844,journal,Springer Science+Business Media
journal:S162544196,journal,S162544196,Journal of Molecular Graphics,Journal of Molecular Graphics,0263-7855,journal,Elsevier BV
journal:S189140625,journal,S189140625,Journal of Molecular Liquids,Journal of Molecular Liquids,0167-7322,journal,Elsevier BV
journal:S134773490,journal,S134773490,Journal of Neurology Neurosurgery & Psychiatry,Journal of Neurology Neurosurgery & Psychiatry,0022-3050,journal,BMJ
journal:S132751470,journal,S132751470,Journal of Neuroscience Methods,Journal of Neuroscience Methods,0165-0270,journal,Elsevier BV
journal:S29984966,journal,S29984966,Journal of Personality and Social Psychology,Journal of Personality and Social Psychology,0022-3514,journal,American Psychological Association
journal:S190924190,journal,S190924190,Journal of Physics Condensed Matter,Journal of Physics Condensed Matter,0953-8984,journal,IOP Publishing
journal:S25370267,journal,S25370267,Journal of Policy Analysis and Management,Journal of Policy Analysis and Management,0276-8739,journal,Wiley
journal:S95323914,journal,S95323914,Journal of Political Economy,Journal of Political Economy,0022-3808,journal,University of Chicago Press
journal:S160879026,journal,S160879026,Journal of Psychiatric Research,Journal of Psychiatric Research,0022-3956,journal,Elsevier BV
journal:S167943036,journal,S167943036,Journal of Statistical Mechanics Theory and Experiment,Journal of Statistical Mechanics Theory and Experiment,1742-5468,journal,Institute of Physics
journal:S167961193,journal,S167961193,Journal of Statistical Software,Journal of Statistical Software,1548-7660,journal,Foundation for Open Access Statistics
journal:S114484406,journal,S114484406,Journal of Synchrotron Radiation,Journal of Synchrotron Radiation,0909-0495,journal,Wiley
journal:S92522684,journal,S92522684,Journal of the Academy of Marketing Science,Journal of the Academy of Marketing Science,0092-0703,journal,Springer Science+Business Media
journal:S111155417,journal,S111155417,Journal of the American Chemical Society,Journal of the American Chemical Society,0002-7863,journal,American Chemical Society
journal:S150273397,journal,S150273397,Journal of the American Dietetic Association,Journal of the American Dietetic Association,0002-8223,journal,Elsevier BV
journal:S204183829,journal,S204183829,Journal of the American Geriatrics Society,Journal of the American Geriatrics Society,0002-8614,journal,Wiley
journal:S185321339,journal,S185321339,Journal of the American Society of Echocardiography,Journal of the American Society of Echocardiography,0894-7317,journal,Elsevier BV
journal:S4394736638,journal,S4394736638,Journal of the American Statistical Association,Journal of the American Statistical Association,0162-1459,journal,
journal:S131264402,journal,S131264402,Journal of the Atmospheric Sciences,Journal of the Atmospheric Sciences,0022-4928,journal,American Meteorological Society
journal:S183498172,journal,S183498172,Journal of the Franklin Institute,Journal of the Franklin Institute,0016-0032,journal,Elsevier BV
journal:S105775785,journal,S105775785,Journal of the Mechanics and Physics of Solids,Journal of the Mechanics and Physics of Solids,0022-5096,journal,Elsevier BV
journal:S169988927,journal,S169988927,Journal of the Operational Research Society,Journal of the Operational Research Society,0160-5682,journal,Palgrave Macmillan
journal:S4210239914,journal,S4210239914,Journal of the Royal Statistical Society Series A (General),Journal of the Royal Statistical Society Series A (General),0035-9238,journal,Wiley
journal:S145009937,journal,S145009937,Journal of the Royal Statistical Society Series B (Statistical Methodology),Journal of the Royal Statistical Society Series B (Statistical Methodology),1369-7412,journal,Oxford University Press
journal:S4210214951,journal,S4210214951,Journal of the Society for Industrial and Applied Mathematics,Journal of the Society for Industrial and Applied Mathematics,0368-4245,journal,Society for Industrial and Applied Mathematics
journal:S109682412,journal,S109682412,Journal of Theoretical Biology,Journal of Theoretical Biology,0022-5193,journal,Elsevier BV
journal:S72902805,journal,S72902805,Journal of Wildlife Management,Journal of Wildlife Management,0022-541X,journal,Wiley
journal:S167815962,journal,S167815962,Kidney & Blood Pressure Research,Kidney & Blood Pressure Research,1420-4096,journal,Karger Publishers
journal:S4306402641,journal,S4306402641,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),,repository,LA Referencia
journal:S149285975,journal,S149285975,Land Economics,Land Economics,0023-7639,journal,University of Wisconsin Press
journal:S106296714,journal,S106296714,Lecture notes in computer science,Lecture notes in computer science,0302-9743,book series,Springer Science+Business Media
journal:S118039931,journal,S118039931,Lecture notes in mathematics,Lecture notes in mathematics,0075-8434,book series,Springer Nature
journal:S9435936,journal,S9435936,Long Range Planning,Long Range Planning,0024-6301,journal,Elsevier BV
journal:S26760650,journal,S26760650,LWT,LWT,0023-6438,journal,Elsevier BV
journal:S4306488689,journal,S4306488689,Macat Library eBooks,Macat Library eBooks,,ebook platform,
journal:S62148650,journal,S62148650,Machine Learning,Machine Learning,0885-6125,journal,Springer Science+Business Media
journal:name:machine learning under malware attack,journal,name:machine learning under malware attack,Machine Learning under Malware Attack,Machine Learning under Malware Attack,,,
journal:S4210196053,journal,S4210196053,Man,Man,0025-1496,journal,Royal Anthropological Institute of Great Britain and Ireland
journal:S33323087,journal,S33323087,Management Science,Management Science,0025-1909,journal,Institute for Operations Research and the Management Sciences
journal:S102439543,journal,S102439543,Mathematics of Computation,Mathematics of Computation,0025-5718,journal,American Mathematical Society
journal:S4306463610,journal,S4306463610,McGraw-Hill Book Company,McGraw-Hill Book Company,,ebook platform,McGraw Hill Book Company
journal:S79233773,journal,S79233773,Medical Care,Medical Care,0025-7079,journal,Lippincott Williams & Wilkins
journal:S4210197683,journal,S4210197683,Medical Entomology and Zoology,Medical Entomology and Zoology,0424-7086,journal,Japan Society of Medical Entomology and Zoology
journal:S14544163,journal,S14544163,Medicine & Science in Sports & Exercise,Medicine & Science in Sports & Exercise,0195-9131,journal,Lippincott Williams & Wilkins
journal:S73539393,journal,S73539393,Methods,Methods,1046-2023,journal,Elsevier BV
journal:S182211142,journal,S182211142,Methods in enzymology on CD-ROM/Methods in enzymology,Methods in enzymology on CD-ROM/Methods in enzymology,0076-6879,book series,Academic Press
journal:S4210173168,journal,S4210173168,Midwest Journal of Political Science,Midwest Journal of Political Science,0026-3397,journal,
journal:S57293258,journal,S57293258,MIS Quarterly,MIS Quarterly,0276-7783,journal,MIS Quarterly
journal:S117777245,journal,S117777245,Modelling and Simulation in Materials Science and Engineering,Modelling and Simulation in Materials Science and Engineering,0965-0393,journal,IOP Publishing
journal:S72851247,journal,S72851247,Modern Language Journal,Modern Language Journal,0026-7902,journal,Wiley
journal:S57552105,journal,S57552105,Molecular Biology and Evolution,Molecular Biology and Evolution,0737-4038,journal,Oxford University Press
journal:S22454499,journal,S22454499,Molecular Ecology,Molecular Ecology,0962-1083,journal,Wiley
journal:S165787973,journal,S165787973,Molecular Ecology Notes,Molecular Ecology Notes,1471-8278,journal,Wiley
journal:S64961995,journal,S64961995,Molecular Ecology Resources,Molecular Ecology Resources,1755-098X,journal,Wiley
journal:S204809294,journal,S204809294,Molecular Physics,Molecular Physics,0026-8976,journal,Taylor & Francis
journal:S200893805,journal,S200893805,Molecular Systems Biology,Molecular Systems Biology,1744-4292,journal,Springer Nature
journal:S4306463641,journal,S4306463641,National Academies Press eBooks,National Academies Press eBooks,,ebook platform,
journal:S137773608,journal,S137773608,Nature,Nature,0028-0836,journal,Nature Portfolio
journal:S106963461,journal,S106963461,Nature Biotechnology,Nature Biotechnology,1087-0156,journal,Nature Portfolio
journal:S137905309,journal,S137905309,Nature Genetics,Nature Genetics,1061-4036,journal,Nature Portfolio
journal:S103895331,journal,S103895331,Nature Materials,Nature Materials,1476-1122,journal,Nature Portfolio
journal:S127827428,journal,S127827428,Nature Methods,Nature Methods,1548-7091,journal,Nature Portfolio
journal:S7822423,journal,S7822423,Nature Nanotechnology,Nature Nanotechnology,1748-3387,journal,Nature Portfolio
journal:S109387254,journal,S109387254,Nature Protocols,Nature Protocols,1750-2799,journal,Nature Portfolio
journal:S168252155,journal,S168252155,Neonatology,Neonatology,1661-7800,journal,Karger Publishers
journal:S207023548,journal,S207023548,Neural Computation,Neural Computation,0899-7667,journal,The MIT Press
journal:S123019304,journal,S123019304,Neural Networks,Neural Networks,0893-6080,journal,Elsevier BV
journal:S45693802,journal,S45693802,Neurocomputing,Neurocomputing,0925-2312,journal,Elsevier BV
journal:S103225281,journal,S103225281,NeuroImage,NeuroImage,1053-8119,journal,Elsevier BV
journal:S79704628,journal,S79704628,Neurology,Neurology,0028-3878,journal,Lippincott Williams & Wilkins
journal:S86238769,journal,S86238769,Neuropeptides,Neuropeptides,0143-4179,journal,Elsevier BV
journal:S165368631,journal,S165368631,Neuropsychologia,Neuropsychologia,0028-3932,journal,Elsevier BV
journal:S62468778,journal,S62468778,New England Journal of Medicine,New England Journal of Medicine,0028-4793,journal,Massachusetts Medical Society
journal:S145630073,journal,S145630073,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,0168-9002,journal,Elsevier BV
journal:S134668137,journal,S134668137,Nucleic Acids Research,Nucleic Acids Research,0305-1048,journal,Oxford University Press
journal:S193378857,journal,S193378857,Nucleic Acids Symposium Series,Nucleic Acids Symposium Series,0261-3166,journal,Oxford University Press
journal:S4210205683,journal,S4210205683,Numerische Mathematik,Numerische Mathematik,0029-599X,journal,Springer Science+Business Media
journal:S62565178,journal,S62565178,Nurse Education Today,Nurse Education Today,0260-6917,journal,Elsevier BV
journal:S57227388,journal,S57227388,Nursing Research,Nursing Research,0029-6562,journal,Lippincott Williams & Wilkins
journal:S38078933,journal,S38078933,Nutrition Reviews,Nutrition Reviews,0029-6643,journal,Oxford University Press
journal:S116972989,journal,S116972989,OMICS A Journal of Integrative Biology,OMICS A Journal of Integrative Biology,1536-2310,journal,"Mary Ann Liebert, Inc."
journal:S206124708,journal,S206124708,Organization Science,Organization Science,1047-7039,journal,Institute for Operations Research and the Management Sciences
journal:S64744539,journal,S64744539,Organizational Behavior and Human Decision Processes,Organizational Behavior and Human Decision Processes,0749-5978,journal,Elsevier BV
journal:S4306463708,journal,S4306463708,Oxford University Press eBooks,Oxford University Press eBooks,,ebook platform,Oxford University Press
journal:S22496335,journal,S22496335,Pacific Affairs,Pacific Affairs,0030-851X,journal,University of British Columbia
journal:S130519153,journal,S130519153,Palaeontologia Electronica,Palaeontologia Electronica,1094-8074,journal,
journal:S39041608,journal,S39041608,Patient Education and Counseling,Patient Education and Counseling,0738-3991,journal,Elsevier BV
journal:S151820558,journal,S151820558,Pattern Recognition Letters,Pattern Recognition Letters,0167-8655,journal,Elsevier BV
journal:S4210199927,journal,S4210199927,Performance + Instruction,Performance + Instruction,0884-1985,journal,Wiley
journal:S203465302,journal,S203465302,Pflügers Archiv - European Journal of Physiology,Pflügers Archiv - European Journal of Physiology,0031-6768,journal,Springer Science+Business Media
journal:S2764821508,journal,S2764821508,Philosophy study,Philosophy study,2159-5313,journal,
journal:S181332294,journal,S181332294,Physical Chemistry Chemical Physics,Physical Chemistry Chemical Physics,1463-9076,journal,Royal Society of Chemistry
journal:S54862371,journal,S54862371,Physical Review,Physical Review,0031-899X,journal,American Institute of Physics
journal:S24807848,journal,S24807848,Physical Review Letters,Physical Review Letters,0031-9007,journal,American Physical Society
journal:S4210219937,journal,S4210219937,"Physical review. A, General physics","Physical review. A, General physics",0556-2791,journal,American Institute of Physics
journal:S4210174675,journal,S4210174675,"Physical review. B, Condensed matter","Physical review. B, Condensed matter",0163-1829,journal,American Physical Society
journal:S4210208989,journal,S4210208989,"Physical review. B, Solid state","Physical review. B, Solid state",0556-2805,journal,American Physical Society
journal:S180907581,journal,S180907581,Physics Today,Physics Today,0031-9228,journal,AIP Publishing
journal:S185046733,journal,S185046733,Physiologia Plantarum,Physiologia Plantarum,0031-9317,journal,Wiley
journal:S11781297,journal,S11781297,Plant and Soil,Plant and Soil,0032-079X,journal,Springer Science+Business Media
journal:S42294715,journal,S42294715,PLANT PHYSIOLOGY,PLANT PHYSIOLOGY,0032-0889,journal,Oxford University Press
journal:S46033839,journal,S46033839,Plasma and Fusion Research,Plasma and Fusion Research,1880-6821,journal,Japan Society of Plasma Science and Nuclear Fusion Research
journal:S197939330,journal,S197939330,PLoS Medicine,PLoS Medicine,1549-1277,journal,Public Library of Science
journal:S202381698,journal,S202381698,PLoS ONE,PLoS ONE,1932-6203,journal,Public Library of Science
journal:S4306402433,journal,S4306402433,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)","Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",,repository,
journal:S4306463805,journal,S4306463805,Princeton University Press eBooks,Princeton University Press eBooks,,ebook platform,Princeton University Press
journal:name:proceedings of icnn'95 - international conference on neural networks,journal,name:proceedings of icnn'95 - international conference on neural networks,Proceedings of ICNN'95 - International Conference on Neural Networks,Proceedings of ICNN'95 - International Conference on Neural Networks,,,
journal:name:proceedings of the 2001 ieee computer society conference on computer vision and pattern recognition. cvpr 2001,journal,name:proceedings of the 2001 ieee computer society conference on computer vision and pattern recognition. cvpr 2001,Proceedings of the 2001 IEEE Computer Society Conference on Computer Vision and Pattern Recognition. CVPR 2001,Proceedings of the 2001 IEEE Computer Society Conference on Computer Vision and Pattern Recognition. CVPR 2001,,,
journal:name:proceedings of the 2014 conference on empirical methods in natural language processing (emnlp),journal,name:proceedings of the 2014 conference on empirical methods in natural language processing (emnlp),Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP),Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP),,,
journal:name:proceedings of the 2019 conference of the north,journal,name:proceedings of the 2019 conference of the north,Proceedings of the 2019 Conference of the North,Proceedings of the 2019 Conference of the North,,,
journal:name:proceedings of the 22nd acm sigkdd international conference on knowledge discovery and data mining,journal,name:proceedings of the 22nd acm sigkdd international conference on knowledge discovery and data mining,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,
journal:name:proceedings of the 40th annual meeting on association for computational linguistics  - acl '02,journal,name:proceedings of the 40th annual meeting on association for computational linguistics  - acl '02,Proceedings of the 40th Annual Meeting on Association for Computational Linguistics  - ACL '02,Proceedings of the 40th Annual Meeting on Association for Computational Linguistics  - ACL '02,,,
journal:S68686220,journal,S68686220,Proceedings of the IEEE,Proceedings of the IEEE,0018-9219,journal,Institute of Electrical and Electronics Engineers
journal:S125754415,journal,S125754415,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,0027-8424,journal,National Academy of Sciences
journal:S3006183880,journal,S3006183880,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,1364-5021,journal,Royal Society
journal:name:proceedings of the seventh ieee international conference on computer vision,journal,name:proceedings of the seventh ieee international conference on computer vision,Proceedings of the Seventh IEEE International Conference on Computer Vision,Proceedings of the Seventh IEEE International Conference on Computer Vision,,,
journal:S173499201,journal,S173499201,Process Biochemistry,Process Biochemistry,1359-5113,journal,Elsevier BV
journal:S84074229,journal,S84074229,Psychiatry Research,Psychiatry Research,0165-1781,journal,Elsevier BV
journal:S75627607,journal,S75627607,Psychological Bulletin,Psychological Bulletin,0033-2909,journal,American Psychological Association
journal:S16647404,journal,S16647404,Psychological Inquiry,Psychological Inquiry,1047-840X,journal,Taylor & Francis
journal:S35223124,journal,S35223124,Psychological Review,Psychological Review,0033-295X,journal,American Psychological Association
journal:S4306463811,journal,S4306463811,Psychology Press eBooks,Psychology Press eBooks,,ebook platform,
journal:S186480540,journal,S186480540,Psychometrika,Psychometrika,0033-3123,journal,Springer Science+Business Media
journal:S4306525036,journal,S4306525036,PubMed,PubMed,,repository,National Institutes of Health
journal:S142816121,journal,S142816121,Pure and Applied Chemistry,Pure and Applied Chemistry,0033-4545,journal,International Union of Pure and Applied Chemistry
journal:S32648145,journal,S32648145,Qualitative Health Research,Qualitative Health Research,1049-7323,journal,SAGE Publishing
journal:S51001188,journal,S51001188,Qualitative Research in Psychology,Qualitative Research in Psychology,1478-0887,journal,Taylor & Francis
journal:S2764513707,journal,S2764513707,Qualitative Research in Sport Exercise and Health,Qualitative Research in Sport Exercise and Health,2159-676X,journal,Taylor & Francis
journal:S70522100,journal,S70522100,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,0035-9009,journal,Wiley
journal:S50280174,journal,S50280174,Radiology,Radiology,0033-8419,journal,Radiological Society of North America
journal:S4306401271,journal,S4306401271,RePEc: Research Papers in Economics,RePEc: Research Papers in Economics,,repository,Federal Reserve Bank of St. Louis
journal:S73260565,journal,S73260565,Reviews of Modern Physics,Reviews of Modern Physics,0034-6861,journal,American Physical Society
journal:S2739018597,journal,S2739018597,Revista de Administração Contemporânea,Revista de Administração Contemporânea,1415-6555,journal,Associação Nacional de Pós-Graduação e Pesquisa em Administração (ANPAD)
journal:S115516397,journal,S115516397,Revue économique,Revue économique,0035-2764,journal,Sciences Po
journal:name:rugman reviews,journal,name:rugman reviews,Rugman Reviews,Rugman Reviews,,,
journal:S4306463867,journal,S4306463867,Sage eBooks,Sage eBooks,,ebook platform,SAGE Publishing
journal:S72071028,journal,S72071028,Scandinavian Journal of Statistics,Scandinavian Journal of Statistics,0303-6898,journal,Wiley
journal:S117485531,journal,S117485531,Schizophrenia Bulletin,Schizophrenia Bulletin,0586-7614,journal,Oxford University Press
journal:S3880285,journal,S3880285,Science,Science,0036-8075,journal,American Association for the Advancement of Science
journal:S2737427234,journal,S2737427234,Science Advances,Science Advances,2375-2548,journal,American Association for the Advancement of Science
journal:S155937366,journal,S155937366,Science Signaling,Science Signaling,1937-9145,journal,American Association for the Advancement of Science
journal:S2607323502,journal,S2607323502,Scientific Data,Scientific Data,2052-4463,journal,Nature Portfolio
journal:S196734849,journal,S196734849,Scientific Reports,Scientific Reports,2045-2322,journal,Nature Portfolio
journal:S148561398,journal,S148561398,Scientometrics,Scientometrics,0138-9130,journal,Springer Nature (Netherlands)
journal:S160107561,journal,S160107561,SIAM Review,SIAM Review,0036-1445,journal,Society for Industrial and Applied Mathematics
journal:S42921845,journal,S42921845,SLEEP,SLEEP,0161-8105,journal,Oxford University Press
journal:S130611943,journal,S130611943,Social Forces,Social Forces,0037-7732,journal,Oxford University Press
journal:S26186134,journal,S26186134,Social Networks,Social Networks,0378-8733,journal,Elsevier BV
journal:name:social theory re-wired,journal,name:social theory re-wired,Social Theory Re-Wired,Social Theory Re-Wired,,,
journal:S4306463922,journal,S4306463922,Society for Industrial and Applied Mathematics eBooks,Society for Industrial and Applied Mathematics eBooks,,ebook platform,Society for Industrial and Applied Mathematics
journal:S9536269,journal,S9536269,Sociological Methods & Research,Sociological Methods & Research,0049-1241,journal,SAGE Publishing
journal:S2506067282,journal,S2506067282,SoftwareX,SoftwareX,2352-7110,journal,Elsevier BV
journal:S90259781,journal,S90259781,Soil Science,Soil Science,0038-075X,journal,Lippincott Williams & Wilkins
journal:S59755854,journal,S59755854,Soil Science Society of America Journal,Soil Science Society of America Journal,0361-5995,journal,Wiley
journal:S16296580,journal,S16296580,Southern Economic Journal,Southern Economic Journal,0038-4038,journal,Wiley
journal:S5152312,journal,S5152312,Spatial Vision,Spatial Vision,0169-1015,journal,Brill
journal:name:speech acts,journal,name:speech acts,Speech Acts,Speech Acts,,,
journal:S4210187552,journal,S4210187552,Springer series in statistics,Springer series in statistics,0172-7397,book series,Springer Science+Business Media
journal:S161743634,journal,S161743634,Stanford Law Review,Stanford Law Review,0038-9765,journal,Stanford Law School
journal:S4306463952,journal,S4306463952,Stanford University Press eBooks,Stanford University Press eBooks,,ebook platform,
journal:S4210187487,journal,S4210187487,Statisctics and computing/Statistics and computing,Statisctics and computing/Statistics and computing,1431-8784,book series,Springer Nature
journal:S12967704,journal,S12967704,Statistical Science,Statistical Science,0883-4237,journal,Institute of Mathematical Statistics
journal:S4210186945,journal,S4210186945,Statistics for biology and health,Statistics for biology and health,2197-5663,journal,
journal:S55189604,journal,S55189604,Statistics in Medicine,Statistics in Medicine,0277-6715,journal,Wiley
journal:S102949365,journal,S102949365,Strategic Management Journal,Strategic Management Journal,0143-2095,journal,Wiley
journal:S78020522,journal,S78020522,Structural Equation Modeling A Multidisciplinary Journal,Structural Equation Modeling A Multidisciplinary Journal,1070-5511,journal,Taylor & Francis
journal:S120411249,journal,S120411249,Swarm Intelligence,Swarm Intelligence,1935-3812,journal,Springer Science+Business Media
journal:S65478581,journal,S65478581,Systematic Biology,Systematic Biology,1063-5157,journal,Oxford University Press
journal:S82452678,journal,S82452678,Systematic Reviews,Systematic Reviews,2046-4053,journal,BioMed Central
journal:S985303,journal,S985303,Technometrics,Technometrics,0040-1706,journal,Taylor & Francis
journal:S97631563,journal,S97631563,Telos,Telos,0090-6514,journal,Telos
journal:S134425043,journal,S134425043,The American Journal of Human Genetics,The American Journal of Human Genetics,0002-9297,journal,Elsevier BV
journal:S5762857,journal,S5762857,The Annals of Mathematical Statistics,The Annals of Mathematical Statistics,0003-4851,journal,Institute of Mathematical Statistics
journal:S119757635,journal,S119757635,The Annals of Statistics,The Annals of Statistics,0090-5364,journal,Institute of Mathematical Statistics
journal:S100695177,journal,S100695177,The Astronomical Journal,The Astronomical Journal,0004-6256,journal,Institute of Physics
journal:S1980519,journal,S1980519,The Astrophysical Journal,The Astrophysical Journal,0004-637X,journal,IOP Publishing
journal:S44643521,journal,S44643521,The Computer Journal,The Computer Journal,0010-4620,journal,Oxford University Press
journal:S45992627,journal,S45992627,The Economic Journal,The Economic Journal,0013-0133,journal,Oxford University Press
journal:S130337233,journal,S130337233,The Gerontologist,The Gerontologist,0016-9013,journal,Oxford University Press
journal:S96410829,journal,S96410829,The Journal of Cell Biology,The Journal of Cell Biology,0021-9525,journal,Rockefeller University Press
journal:S77047749,journal,S77047749,The Journal of Chemical Physics,The Journal of Chemical Physics,0021-9606,journal,American Institute of Physics
journal:S17992710,journal,S17992710,The Journal of Clinical Psychiatry,The Journal of Clinical Psychiatry,0160-6689,journal,"Physicians Postgraduate Press, Inc."
journal:S5353659,journal,S5353659,The Journal of Finance,The Journal of Finance,0022-1082,journal,Wiley
journal:S181027741,journal,S181027741,The Journal of Interdisciplinary History,The Journal of Interdisciplinary History,0022-1953,journal,The MIT Press
journal:S998097505,journal,S998097505,The Journal of Law and Economics,The Journal of Law and Economics,0022-2186,journal,University of Chicago Press
journal:S42468459,journal,S42468459,The Journal of Marketing Theory and Practice,The Journal of Marketing Theory and Practice,1069-6679,journal,Taylor & Francis
journal:S13566964,journal,S13566964,The Journal of Nervous and Mental Disease,The Journal of Nervous and Mental Disease,0022-3018,journal,Lippincott Williams & Wilkins
journal:S4210214273,journal,S4210214273,The Journal of Open Source Software,The Journal of Open Source Software,2475-9066,journal,Open Journals
journal:S24459064,journal,S24459064,The Journal of Physical Chemistry,The Journal of Physical Chemistry,0022-3654,journal,American Chemical Society
journal:S185621672,journal,S185621672,The Journal of Physical Chemistry B,The Journal of Physical Chemistry B,1520-5207,journal,American Chemical Society
journal:S2090548,journal,S2090548,The Journal of Physiology,The Journal of Physiology,0022-3751,journal,Wiley
journal:S969433497,journal,S969433497,The Journals of Gerontology Series A,The Journals of Gerontology Series A,1079-5006,journal,Oxford University Press
journal:S49861241,journal,S49861241,The Lancet,The Lancet,0140-6736,journal,Elsevier BV
journal:S4306463997,journal,S4306463997,The MIT Press eBooks,The MIT Press eBooks,,ebook platform,The MIT Press
journal:S67862205,journal,S67862205,The Plant Journal,The Plant Journal,0960-7412,journal,Wiley
journal:S2764583119,journal,S2764583119,The Psychological Monographs,The Psychological Monographs,0096-9753,journal,American Psychological Association
journal:S203860005,journal,S203860005,The Quarterly Journal of Economics,The Quarterly Journal of Economics,0033-5533,journal,Oxford University Press
journal:S88935262,journal,S88935262,The Review of Economic Studies,The Review of Economic Studies,0034-6527,journal,Oxford University Press
journal:S81945236,journal,S81945236,Theoretical Chemistry Accounts,Theoretical Chemistry Accounts,1432-2234,journal,Springer Science+Business Media
journal:S27569427,journal,S27569427,Thyroid,Thyroid,1050-7256,journal,"Mary Ann Liebert, Inc."
journal:S4306402624,journal,S4306402624,TUScholarShare (Temple University),TUScholarShare (Temple University),,repository,Temple University
journal:S4306400792,journal,S4306400792,University of North Texas Digital Library (University of North Texas),University of North Texas Digital Library (University of North Texas),,repository,University of North Texas
journal:S4210197309,journal,S4210197309,Use R!,Use R!,2197-5736,book series,Springer International Publishing
"journal:name:utility, probability, and human decision making",journal,"name:utility, probability, and human decision making","Utility, Probability, and Human Decision Making","Utility, Probability, and Human Decision Making",,,
journal:S52566953,journal,S52566953,Water Research,Water Research,0043-1354,journal,Elsevier BV
journal:S4210188905,journal,S4210188905,Wiley series in probability and statistics,Wiley series in probability and statistics,1940-6347,book series,Wiley
journal:S4306400562,journal,S4306400562,Zenodo (CERN European Organization for Nuclear Research),Zenodo (CERN European Organization for Nuclear Research),,repository,European Organization for Nuclear Research
journal:name:без журнала,journal,name:без журнала,Без журнала,Без журнала,,,
